locality,count
"Hyatt Regency, Bhikaji Cama Place",6
India Gate,6
"ITC Maurya, Chanakyapuri",6
"Hotel The Royal Plaza, Janpath",6
Indiranagar,6
Winter Park,6
Downtown,6
Okhla Phase 2,6
"Le Meridien, Janpath",6
Lalpur,6
"MGF Metropolis Mall, MG Road",6
Sector 47,6
Sector 65,6
Sector 9,6
Gainesville,6
Sector 25,6
Sector 19,6
"MGM Club, Daryaganj",6
"JMD Kohinoor Mall, Greater Kailash",5
Hyde Park,5
"Spark Mall, Kamla Nagar",5
Maharana Pratap Nagar,5
Arera Colony,5
Lahaina,5
"Eros Hotel, Nehru Place",5
"Jaypee Vasant Continental, Vasant Vihar",5
Bodakdev,5
Uzan Bazaar,5
Bettendorf,5
Sector 30,5
"Tulip Mall, Sector 48, Noida",5
"Aggarwal City Plaza, Rohini",5
Sector 61,5
DLF Cyber City,5
Sector 52,5
Sector 49,5
Indirapuram,5
Dahlonega,5
Ranjit Avenue,5
Sector 3,5
Moti Bagh,5
Sector 26,5
Greater Kailash (GK) 3,5
"Shangri La's - Eros hotel, Janpath",5
"Elante Mall, Chandigarh Industrial Area",5
"Unity One Mall, Janakpuri",5
Rajpur,5
"D Mall, Netaji Subhash Place",5
"Cross River Mall, Karkardooma",5
Pensacola Beach,5
"DLF City Centre Mall, Shalimar Bagh",5
"MGF Metropolitan Mall, Saket",5
"Main Market, Sarabha Nagar",5
"Ansal Plaza Mall, Greater Noida",5
Sector 33,5
"DT Mega Mall, DLF Phase 1",5
Bajaj Nagar,5
"Unitech Cyber Park, Sector 39, Gurgaon",5
Peelamedu,5
"The Leela Palace, Chanakyapuri",5
Delhi Cantt.,4
Chandrasekharpur,4
West Patel Nagar,4
"Crown Plaza Mall, Sector 15, Faridabad",4
"Crescent Square Mall, Rohini",4
"Jaypee Greens Golf & Spa Resort, Surajpur",4
Kihei,4
The Leela Ambience Convention Hotel,4
"The Suryaa New Delhi, New Friends Colony",4
"Cinnamon Gardens, Colombo 07",4
ITO,4
Karak�_y,4
Northern Quarter,4
Piplod,4
Vesu,4
Sikandarpur,4
New Town,4
"The Taj Palace Hotel, Chanakyapuri",4
Nirala Bazar,4
Downtown St Petersburg,4
Sector 46,4
"Aditya Mega Mall, Karkardooma",4
Aerocity,4
Ashok Nagar,4
INA,4
DLF Phase 5,4
Golambar,4
Evans,4
Koregaon Park,4
Park Street Area,4
"Ansal Plaza Mall, Palam Vihar",4
"MGF Mega City Mall, MG Road",4
Fraser Road Area,4
Satpur,4
Leith,4
Sector 5,4
Asa Norte,4
"Park Plaza, Sushant Lok",4
Mandi House,4
Ballygunge,4
Zoo Tiniali,4
Mall Road,4
Panchsheel Park,4
Panaji,4
NIT,4
Helen,4
Christian Basti,4
I-Drive/Universal,4
"Centre Stage Mall, Sector 18",4
Brahmaputra Shopping Complex,4
"Hotel Golf View, Sector 37, Noida",3
Jakhan,3
"The Uppal, Aerocity",3
"The Park, Connaught Place",3
Hathibarkala Salwala,3
New Palasia,3
"Pride Plaza Hotel, Aerocity",3
Spinningfields,3
CBD,3
Green Point,3
Ipanema,3
�guas Claras,3
Uday Park,3
Essex Farms,3
Velachery,3
"The Village Restaurant Complex, Khel Gaon Marg",3
"Marina Centre, Downtown Core",3
"TDI Mall, Rajouri Garden",3
"DB City, Maharana Pratap Nagar",3
TT Nagar,3
"Taj Vivanta, Khan Market",3
"Sheraton New Delhi Hotel, Saket",3
"Fun City Mall, Prashant Vihar",3
Karampura,3
Seminole Heights,3
Koramangala 5th Block,3
Parkhurst,3
Waterkloof,3
Brooklyn,3
Copacabana,3
Mt Eden,3
Bhelupur,3
Dashaswmedh Road,3
Lanka,3
Britomart,3
"Two Horizon Center, Golf Course Road",3
City Light,3
White Avenue,3
"The Dubai Mall,Downtown Dubai",3
Sitabuldi,3
Anand Wali Goan,3
"Aggarwal City Mall, Pitampura",3
Calhoun,3
Asaf Ali Road,3
Ringgold,3
Fort Oglethorpe,3
Anjuna,3
Sector 60,3
Sector 42,3
Baga,3
"Hotel Saffron Kiran, Faridabad",3
"Roseate House, Aerocity",3
INA Colony,3
"Park Plaza Hotel, Sector 55, Noida",3
"Parsavnath City Mall, Sector 12, Faridabad",3
Najda,3
Abu Shagara,3
Al Majaz,3
Flowery Branch,3
"City Square Mall, Rajouri Garden",3
"Harsha Mall, Greater Noida",3
Sector 20,3
"Bellagio, Ashok Vihar Phase 2",3
Kanka,3
Hindpiri,3
Chamrajpura,3
Gokulam,3
Lower Parel,3
Malad West,3
Jayalakhsmipuram,3
Dharampeth,3
"The Bristol Hotel, DLF Phase 1",3
"The Westin Gurgaon, Sector 29",3
Hazratganj,3
Lalbagh,3
"Hong Kong Bazaar Mall, Sector 57, Gurgaon",3
